id,price,dimension,address,inserted_at
140,R$ 49.900,150,"Rua Santa Adélia - Tamatanduba, Eusébio - CE",2024-09-05 19:50:37.420431
141,R$ 350.000,397,"Avenida Atlântica, 2100 - Cidade Alpha, Eusébio - CE",2024-09-05 19:50:37.702407
142,R$ 890.000,397,"Coacu, Eusébio - CE",2024-09-05 19:50:38.001464
143,R$ 925.000,639,"Centro, Eusébio - CE",2024-09-05 19:50:38.223679
144,R$ 285.000,0,"Avenida Atlântica, SN - Cidade Alpha, Eusébio - CE",2024-09-05 19:50:38.464982
145,R$ 12.000.000,30000,"Estrada do Fio, 3335 - Eusebio, Eusébio - CE",2024-09-05 19:50:38.683064
146,R$ 6.500.000,9600,"Guaribas, Eusébio - CE",2024-09-05 19:50:38.994752
147,R$ 254.549,317,"Avenida Eusébio de Queiroz, 1 - Coité, Eusébio - CE",2024-09-05 19:50:39.218845
148,R$ 180.000,200,"Avenida Noé Leite de Freitas, 300 - Urucunema, Eusébio - CE",2024-09-05 19:50:39.429057
149,R$ 315.000,363,"Cidade Alpha, Eusébio - CE",2024-09-05 19:50:39.648885
150,R$ 320.000,330,"Cidade Alpha, Eusébio - CE",2024-09-05 19:50:39.881956
151,R$ 125.000,150,"Rua Alisson Silva dos Santos, 264 - Coité, Eusébio - CE",2024-09-05 19:50:40.077248
152,R$ 120.000,165,"Coité, Eusébio - CE",2024-09-05 19:50:40.277621
153,R$ 6.000.000,15000,"Rua Jose Bento, 127 - Amador, Eusébio - CE",2024-09-05 19:50:40.4814
154,R$ 525.000,1428,"Rua Raul Tavares, 259 - Jabuti, Eusébio - CE",2024-09-05 19:50:40.699737
155,R$ 215.000,275,"Rodovia 4º Anel Viário - Tamatanduba, Eusébio - CE",2024-09-05 19:50:40.912307
156,R$ 450.000,450,"Cidade Alpha, Eusébio - CE",2024-09-05 19:50:41.204234
157,R$ 215.000,275,"Rua José Amora Sá - Cidade Alpha, Eusébio - CE",2024-09-05 19:50:41.502821
158,R$ 155.000,233,"Jacunda, Eusébio - CE",2024-09-05 19:50:41.708269
159,R$ 220.000,315,"Eusebio, Eusébio - CE",2024-09-05 19:50:41.929262
160,R$ 125.000,150,"Tamatanduba, Eusébio - CE",2024-09-05 19:50:42.128873
161,R$ 12.000.000,30000,"Estrada do Fio, 3371 - Coacu, Eusébio - CE",2024-09-05 19:50:42.329597
162,R$ 1.280.000,180,"Rua Sorocotuba - Morro Sorocotuba, Guarujá - SP",2024-09-05 19:50:42.56033
163,R$ 1.100,4,"Avenida Bela Vista, 207 - Chácaras Bela Vista, Aparecida de Goiânia - GO",2024-09-05 19:50:42.766667
164,R$ 1.380,4,"Avenida Bela Vista, 985 - Jardim Bela Vista - Continuação, Aparecida de Goiânia - GO",2024-09-05 19:50:43.049076
165,,2,,2024-09-05 19:50:43.340785
166,,56,,2024-09-05 19:50:43.625161
167,,2,,2024-09-05 19:50:43.908897
168,,1,,2024-09-05 19:50:44.155681
169,,1,,2024-09-05 19:50:44.436462
